Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,48.0,1.0,48.0,48.0,0.1,31.706000000000017,0.0,0.0,0.01406097412109375,,,,,,,,,,,,,,,,,,,,,11.520754029125996,10.69295858215595,31.215403397994546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,76.0,2.0,28.0,76.0,0.1,9.708999999999993,0.0,0.0,3.26784086227417,,,,,,,,,,,,,,,,,,,,,2.3979977206992764,3.219992687582019,9.661168740131947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,173.0,3.0,97.0,173.0,0.1,43.31900000000004,0.0,0.0,13.041357278823853,,,,,,,,,,,,,,,,,,,,,16.49854972306065,11.317436249362173,41.80220328122229,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,201.0,4.0,28.0,201.0,0.1,11.805999999999994,0.0,0.0,15.890893697738647,,,,,,,,,,,,,,,,,,,,,3.3396829830881165,3.998761725783933,11.735949038601701,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,273.0,5.0,72.0,273.0,0.1,35.008,0.0,0.0,23.05810570716858,,,,,,,,,,,,,,,,,,,,,10.969694945602015,10.70057073252582,34.28672111943438,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,316.0,6.0,43.0,316.0,0.1,17.41300000000003,0.0,0.0,27.57555103302002,,,,,,,,,,,,,,,,,,,,,4.40897861524727,5.661317723028534,17.257912486605093,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,450.0,7.0,134.0,450.0,0.1,38.3080000000001,0.0,0.0,41.09716510772705,,,,,,,,,,,,,,,,,,,,,9.21894715720397,9.600448106384624,37.14691776955604,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,512.0,8.0,62.0,512.0,0.1,36.605,0.0,0.0,47.143826723098755,,,,,,,,,,,,,,,,,,,,,14.668474753719115,11.081719092609697,35.76705290402457,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,540.0,9.0,28.0,540.0,0.1,12.206999999999994,0.0,0.0,50.12397480010986,,,,,,,,,,,,,,,,,,,,,3.4581579686886905,4.19502700036122,12.134428299046514,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,563.0,10.0,23.0,563.0,0.1,9.604999999999995,0.0,0.0,52.50330686569214,,,,,,,,,,,,,,,,,,,,,2.8326689818290016,3.318037234705113,9.55895696839776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,618.0,11.0,55.0,618.0,0.1,29.606000000000016,0.0,0.0,58.35473871231079,,,,,,,,,,,,,,,,,,,,,11.278613643171388,9.121239452909018,29.043734675241385,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,645.0,12.0,27.0,645.0,0.1,14.504999999999995,0.0,0.0,61.17295718193054,,,,,,,,,,,,,,,,,,,,,4.831133658575067,5.072420730507894,14.403351691249282,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,676.0,13.0,31.0,676.0,0.1,11.308999999999992,0.0,0.0,64.33460259437561,,,,,,,,,,,,,,,,,,,,,2.858782895424185,3.717686079244193,11.242852191773206,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,727.0,14.0,51.0,727.0,0.1,31.107000000000024,0.0,0.0,69.60935163497925,,,,,,,,,,,,,,,,,,,,,10.47906783677066,10.503896883225515,30.633804515551287,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,756.0,15.0,29.0,756.0,0.1,13.106999999999994,0.0,0.0,72.64554286003113,,,,,,,,,,,,,,,,,,,,,3.838714076586501,4.479769378904813,13.021707685442193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,787.0,16.0,31.0,787.0,0.1,15.204999999999995,0.0,0.0,75.9817852973938,,,,,,,,,,,,,,,,,,,,,4.7856619005711085,5.130135113094668,15.086803000279858,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,818.0,17.0,31.0,818.0,0.1,12.405999999999993,0.0,0.0,79.24359893798828,,,,,,,,,,,,,,,,,,,,,3.4832001201252325,4.066162581402765,12.322653781184707,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,851.0,18.0,33.0,851.0,0.1,12.708999999999993,0.0,0.0,82.79496383666992,,,,,,,,,,,,,,,,,,,,,3.404349535182327,4.155311449180394,12.621887618688744,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,885.0,19.0,34.0,885.0,0.1,19.206000000000017,0.0,0.0,86.6716046333313,,,,,,,,,,,,,,,,,,,,,6.359630834465598,6.649015685853497,19.02780914210324,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,938.0,20.0,53.0,938.0,0.1,25.709000000000028,0.0,0.0,92.3525459766388,,,,,,,,,,,,,,,,,,,,,7.55646448568217,8.282282694294901,25.35920042390623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,64.0,1.0,64.0,1002.0,0.1,21.810000000000006,0.0,0.0,248.7270610332489,,,,,,,,,,,,,,,,,,,,,8.07638174568354,5.73785942071372,21.33576175602655,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,135.0,2.0,71.0,1073.0,0.1,46.806999999999995,0.0,0.0,255.94497227668762,,,,,,,,,,,,,,,,,,,,,18.7269597552901,15.118100927906761,45.568477243383924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,168.0,3.0,33.0,1106.0,0.1,16.606000000000016,0.0,0.0,259.4214334487915,,,,,,,,,,,,,,,,,,,,,5.265459709946086,5.592981389696724,16.465153671761634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,233.0,4.0,65.0,1171.0,0.1,24.115000000000002,0.0,0.0,265.8145167827606,,,,,,,,,,,,,,,,,,,,,8.978554106972467,6.228273141886659,23.578527459438213,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,275.0,5.0,42.0,1213.0,0.1,18.809000000000022,0.0,0.0,270.17983531951904,,,,,,,,,,,,,,,,,,,,,5.455390060549201,6.090588284536589,18.617089178725205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,309.0,6.0,34.0,1247.0,0.1,14.905999999999993,0.0,0.0,273.9041302204132,,,,,,,,,,,,,,,,,,,,,4.3488023410131476,4.902392595437835,14.787701335374969,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,370.0,7.0,61.0,1308.0,0.1,34.207,0.0,0.0,280.0131895542145,,,,,,,,,,,,,,,,,,,,,12.102806914444628,11.340909609942594,33.535766776004124,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,407.0,8.0,37.0,1345.0,0.1,20.705000000000016,0.0,0.0,283.7699999809265,,,,,,,,,,,,,,,,,,,,,6.932162176050419,6.974683985492881,20.489468446911516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,503.0,9.0,96.0,1441.0,0.1,48.70700000000003,0.0,0.0,293.2791950702667,,,,,,,,,,,,,,,,,,,,,16.375839571728363,13.70726759668047,47.22933083345017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,563.0,10.0,60.0,1501.0,0.1,35.60999999999999,0.0,0.0,299.42843747138977,,,,,,,,,,,,,,,,,,,,,11.572649941398712,11.896251916753975,34.98557717228347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,597.0,11.0,34.0,1535.0,0.1,14.304999999999994,0.0,0.0,303.03586888313293,,,,,,,,,,,,,,,,,,,,,4.470566015167422,4.583987446866327,14.1813492726804,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
