Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,41.0,1.0,41.0,41.0,0.0,24.40600000000002,0.0,0.0,0.01872110366821289,,,,,,,,,,,,,,,,,,,,,7.7192487255029745,7.999862158157177,24.11362442668106,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,89.0,2.0,48.0,89.0,0.0,29.90600000000002,0.0,0.0,4.8669092655181885,,,,,,,,,,,,,,,,,,,,,9.84536316113311,9.725996950401528,29.462885453719334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,178.0,3.0,89.0,178.0,0.0,43.607,0.0,0.0,11.188613414764404,,,,,,,,,,,,,,,,,,,,,15.540371484104728,12.476106687010223,42.26617311102571,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,226.0,4.0,48.0,226.0,0.0,32.706999999999994,0.0,0.0,14.848132610321045,,,,,,,,,,,,,,,,,,,,,11.477963042888943,10.794614409399122,32.188246019961284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,265.0,5.0,39.0,265.0,0.0,21.30700000000002,0.0,0.0,18.344210386276245,,,,,,,,,,,,,,,,,,,,,6.35088869160743,6.8898738217591315,21.08039573676408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,292.0,6.0,27.0,292.0,0.0,11.305999999999994,0.0,0.0,20.449646711349487,,,,,,,,,,,,,,,,,,,,,2.863143277771897,3.5164769741949637,11.239935066566728,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,394.0,7.0,102.0,394.0,0.0,68.00799999999998,0.0,0.0,27.59909439086914,,,,,,,,,,,,,,,,,,,,,25.019450344853063,20.305969447688273,65.52153760242746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,422.0,8.0,28.0,422.0,0.0,13.105999999999995,0.0,0.0,29.944304943084717,,,,,,,,,,,,,,,,,,,,,3.637284584295877,4.147995441790175,13.017173204844564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,459.0,9.0,37.0,459.0,0.0,15.108999999999991,0.0,0.0,32.92532920837402,,,,,,,,,,,,,,,,,,,,,3.6295756389083382,4.6162520645952725,14.989695396757153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,500.0,10.0,41.0,500.0,0.0,22.007000000000023,0.0,0.0,36.30351686477661,,,,,,,,,,,,,,,,,,,,,6.419860945468325,7.099790232265525,21.765551252488287,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,541.0,11.0,41.0,541.0,0.0,22.80700000000002,0.0,0.0,39.29666495323181,,,,,,,,,,,,,,,,,,,,,6.9113718968683635,7.360653805302429,22.546179932160555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
