Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,31.0,1.0,31.0,31.0,0.0,15.804999999999994,0.0,0.0,0.015956878662109375,,,,,,,,,,,,,,,,,,,,,4.574952673014967,5.065274754839401,15.678855322458995,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,51.0,2.0,20.0,51.0,0.0,9.003999999999996,0.0,0.0,2.628903388977051,,,,,,,,,,,,,,,,,,,,,2.5200153073194613,2.8739544648574644,8.96256225610972,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,140.0,3.0,89.0,140.0,0.0,40.412000000000035,0.0,0.0,12.465940952301025,,,,,,,,,,,,,,,,,,,,,14.821316069857652,10.545336742087317,39.13203490468737,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,207.0,4.0,67.0,207.0,0.0,39.704,0.0,0.0,20.25818371772766,,,,,,,,,,,,,,,,,,,,,15.93941102431365,11.996780143418931,38.67473419556654,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,230.0,5.0,23.0,230.0,0.0,10.104999999999995,0.0,0.0,23.149550437927246,,,,,,,,,,,,,,,,,,,,,2.7028416790016974,3.199603689465617,10.052887528911874,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,258.0,6.0,28.0,258.0,0.0,14.203999999999995,0.0,0.0,27.295260429382324,,,,,,,,,,,,,,,,,,,,,4.220300074634914,4.520353876223009,14.099931529439665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,364.0,7.0,106.0,364.0,0.0,89.80499999999998,0.0,0.0,39.68747615814209,,,,,,,,,,,,,,,,,,,,,37.47354742480827,27.6137503903946,85.91872269566602,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,411.0,8.0,47.0,411.0,0.0,26.507000000000023,0.0,0.0,45.320828437805176,,,,,,,,,,,,,,,,,,,,,8.089227054504331,8.51458639567995,26.152959287726024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,446.0,9.0,35.0,446.0,0.0,2.9060000000000006,0.0,0.0,49.43394875526428,,,,,,,,,,,,,,,,,,,,,1.2368193592981778,0.9370626369835269,2.865576899323887,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,480.0,10.0,34.0,480.0,0.0,14.106999999999992,0.0,0.0,53.61504602432251,,,,,,,,,,,,,,,,,,,,,3.5069063137770082,4.313431324682575,14.001766952283868,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,523.0,11.0,43.0,523.0,0.0,27.304000000000016,0.0,0.0,58.67120695114136,,,,,,,,,,,,,,,,,,,,,9.284487629162053,8.830694077827582,26.931698730676707,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,544.0,12.0,21.0,544.0,0.0,1.6049999999999998,0.0,0.0,61.30475687980652,,,,,,,,,,,,,,,,,,,,,0.6488753474929403,0.5382224593239209,1.5929665842869354,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,596.0,13.0,52.0,596.0,0.0,18.206000000000035,0.0,0.0,67.68240284919739,,,,,,,,,,,,,,,,,,,,,4.253641826561786,5.0465664183853765,18.00281343845725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,639.0,14.0,43.0,639.0,0.0,31.004000000000012,0.0,0.0,72.91500616073608,,,,,,,,,,,,,,,,,,,,,11.922841719601383,10.040377777369807,30.521839645702844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,661.0,15.0,22.0,661.0,0.0,9.603999999999996,0.0,0.0,75.64795422554016,,,,,,,,,,,,,,,,,,,,,2.666049653288636,3.010491978268969,9.554901809437087,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
