Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,10.0,2.0,11.0,12.0,0.0,10.817359010000002,10.817359010000002,0.0,2.2500085830688477,,,,,,,,,,,,,,,,2.7124486827518526,3.6146355528838936,10.801035558731213,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,18.0,3.0,9.0,21.0,0.0,15.83101001,15.83101001,0.0,4.2844109535217285,,,,,,,,,,,,,,,,7.226604084365868,5.480161700977148,15.788986163488563,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,39.0,4.0,22.0,43.0,0.0,20.43640001,20.43640001,0.0,7.825392961502075,,,,,,,,,,,,,,,,12.265880678892954,5.121454331066784,20.204219751025548,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,46.0,5.0,8.0,51.0,0.0,15.22460601,15.22460601,0.0,9.686879873275757,,,,,,,,,,,,,,,,6.024051863214134,5.081590674803221,15.197635282239741,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,54.0,6.0,9.0,60.0,0.0,23.09660001,23.09660001,0.0,11.669134378433228,,,,,,,,,,,,,,,,10.780035396668627,7.375145908158641,23.033393119946602,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,62.0,7.0,9.0,69.0,0.0,19.150010010000003,19.150010010000003,0.0,13.638681173324585,,,,,,,,,,,,,,,,9.250707418817878,7.465767880269281,19.095099450099557,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,71.0,8.0,10.0,79.0,0.0,14.744000009999999,14.744000009999999,0.0,15.675228118896484,,,,,,,,,,,,,,,,6.181484057439678,4.043409082813944,14.703069723206251,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,83.0,9.0,13.0,92.0,0.0,20.301000010000006,20.301000010000006,0.0,18.134357690811157,,,,,,,,,,,,,,,,7.789099878739744,7.952160022287025,20.227758570025145,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,91.0,10.0,9.0,101.0,0.0,3.23000351,3.23000351,0.0,20.273771047592163,,,,,,,,,,,,,,,,1.1451845644805172,1.0724509409815663,3.2240660995837396,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
